Time,Pressure,Altitude,Sealevel,Real Altitude,Humidity,Temp-k,Potentiometer
2025-07-20 11:12:14,91533.00,849.41,91533.00,848.87,64.00,28.00,1
2025-07-20 11:12:14,91530.00,849.06,91535.00,849.06,64.00,28.00,1
2025-07-20 11:12:15,91535.00,849.14,91533.00,849.41,64.00,28.25,0
2025-07-20 11:12:16,91533.00,849.23,91528.00,849.23,64.00,28.25,0
2025-07-20 11:12:16,91527.00,849.06,91531.00,849.51,64.00,28.25,1
2025-07-20 11:12:17,91529.00,849.23,91531.00,849.23,64.00,28.75,0
2025-07-20 11:12:18,91528.00,849.32,91531.00,849.23,64.00,29.00,1
2025-07-20 11:12:18,91534.00,848.96,91532.00,849.23,64.00,28.75,0
2025-07-20 11:12:19,91527.00,849.23,91535.00,849.32,64.00,28.75,2
2025-07-20 11:12:20,91533.00,849.60,91529.00,849.69,64.00,28.75,1
2025-07-20 11:12:20,91531.00,849.51,91532.00,849.23,64.00,28.75,0
2025-07-20 11:12:21,91533.00,849.23,91530.00,849.23,64.00,28.50,0
2025-07-20 11:12:21,91531.00,849.14,91534.00,849.32,64.00,29.00,0
2025-07-20 11:12:22,91529.00,849.32,91534.00,848.87,64.00,29.25,0
2025-07-20 11:12:23,91534.00,848.96,91540.00,849.23,64.00,28.75,0
2025-07-20 11:12:23,91533.00,849.06,91537.00,849.32,64.00,28.50,0
2025-07-20 11:12:24,91528.00,848.78,91533.00,849.23,64.00,28.75,1
2025-07-20 11:12:25,91529.00,849.06,91535.00,849.32,64.00,28.75,0
2025-07-20 11:12:25,91527.00,849.51,91535.00,849.60,64.00,28.50,0
2025-07-20 11:12:26,91533.00,849.23,91535.00,849.51,64.00,29.00,1
2025-07-20 11:12:27,91526.00,849.23,91533.00,849.41,64.00,28.75,43
2025-07-20 11:12:27,91527.00,849.14,91533.00,849.32,64.00,28.75,273
2025-07-20 11:12:28,91538.00,849.14,91534.00,848.87,64.00,28.50,655
2025-07-20 11:12:29,91536.00,849.41,91536.00,849.06,64.00,28.50,656
2025-07-20 11:12:29,91525.00,848.87,91536.00,848.87,64.00,28.75,655
2025-07-20 11:12:30,91533.00,849.23,91531.00,849.51,64.00,28.75,653
2025-07-20 11:12:31,91532.00,849.60,91537.00,849.23,64.00,28.25,653
2025-07-20 11:12:31,91536.00,849.14,91532.00,849.32,64.00,28.75,654
2025-07-20 11:12:32,91531.00,849.06,91532.00,849.60,64.00,28.75,654
2025-07-20 11:12:33,91539.00,848.87,91541.00,848.87,64.00,28.75,653
2025-07-20 11:12:33,91532.00,849.32,91531.00,849.32,64.00,28.25,653
2025-07-20 11:12:34,91532.00,848.96,91534.00,849.41,64.00,28.50,654
2025-07-20 11:12:35,91537.00,849.32,91538.00,849.60,64.00,28.75,653
2025-07-20 11:12:35,91531.00,849.14,91532.00,848.87,64.00,28.75,653
2025-07-20 11:12:36,91534.00,849.41,91533.00,849.23,64.00,28.75,653
2025-07-20 11:12:36,91537.00,848.96,91534.00,849.41,64.00,29.00,653
2025-07-20 11:12:37,91534.00,848.78,91534.00,848.60,64.00,28.75,653
2025-07-20 11:12:38,91539.00,848.87,91538.00,849.06,64.00,28.50,653
2025-07-20 11:12:38,91536.00,848.78,91536.00,848.78,64.00,28.75,653
2025-07-20 11:12:39,91536.00,849.14,91535.00,849.32,64.00,29.00,653
2025-07-20 11:12:40,91534.00,849.06,91525.00,849.23,64.00,28.75,653
2025-07-20 11:12:40,91535.00,849.32,91530.00,849.41,64.00,28.50,653
2025-07-20 11:12:41,91533.00,849.69,91536.00,848.96,64.00,28.75,653
2025-07-20 11:12:42,91534.00,849.06,91535.00,848.87,64.00,28.25,653
2025-07-20 11:12:42,91538.00,848.69,91535.00,848.96,64.00,28.75,653
2025-07-20 11:12:43,91534.00,848.42,91531.00,848.69,64.00,28.25,653
2025-07-20 11:12:44,91532.00,849.23,91532.00,848.87,64.00,28.50,653
2025-07-20 11:12:44,91532.00,848.96,91529.00,849.51,64.00,29.00,653
2025-07-20 11:12:45,91535.00,849.69,91532.00,849.60,64.00,28.75,653
2025-07-20 11:12:46,91536.00,849.14,91527.00,849.32,64.00,29.00,653
2025-07-20 11:12:46,91531.00,849.23,91542.00,849.41,64.00,28.50,653
2025-07-20 11:12:47,91531.00,849.69,91528.00,849.60,64.00,29.00,653
2025-07-20 11:12:48,91525.00,849.69,91535.00,848.78,63.00,29.00,653
2025-07-20 11:12:48,91531.00,849.32,91527.00,849.32,63.00,28.75,653
2025-07-20 11:12:49,91533.00,849.60,91526.00,849.32,63.00,29.25,653
2025-07-20 11:12:49,91528.00,848.96,91535.00,848.51,63.00,29.00,653
2025-07-20 11:12:50,91536.00,849.41,91533.00,849.06,63.00,29.00,653
2025-07-20 11:12:51,91535.00,849.32,91530.00,848.96,63.00,28.50,653
2025-07-20 11:12:51,91536.00,848.78,91534.00,848.69,63.00,28.50,653
2025-07-20 11:12:52,91527.00,848.78,91537.00,848.87,63.00,29.00,653
2025-07-20 11:12:53,91532.00,849.14,91537.00,849.14,64.00,28.50,654
2025-07-20 11:12:53,91532.00,849.14,91539.00,848.96,64.00,29.25,653
2025-07-20 11:12:54,91534.00,848.78,91538.00,849.23,64.00,29.50,653
2025-07-20 11:12:55,91530.00,848.78,91533.00,849.14,64.00,29.00,653
2025-07-20 11:12:55,91529.00,849.78,91534.00,849.06,64.00,28.00,653
2025-07-20 11:12:56,91532.00,848.96,91537.00,848.60,64.00,28.25,653
2025-07-20 11:12:57,91529.00,849.06,91537.00,849.14,64.00,28.75,653
2025-07-20 11:12:57,91529.00,849.06,91534.00,849.32,64.00,29.00,653
2025-07-20 11:12:58,91525.00,848.87,91531.00,849.41,64.00,29.00,653
2025-07-20 11:12:59,91524.00,849.06,91530.00,849.69,64.00,29.00,653
2025-07-20 11:12:59,91532.00,849.51,91535.00,848.69,64.00,28.75,653
2025-07-20 11:13:00,91532.00,849.87,91530.00,849.06,64.00,28.75,653
2025-07-20 11:13:01,91539.00,848.87,91534.00,848.69,65.00,28.75,654
2025-07-20 11:13:01,91530.00,848.96,91534.00,849.41,65.00,28.50,654
2025-07-20 11:13:02,91531.00,843.27,91580.00,832.07,65.00,29.00,654
2025-07-20 11:13:02,91392.00,849.41,91535.00,849.06,65.00,29.25,654
2025-07-20 11:13:03,91321.00,851.68,91531.00,848.42,65.00,29.00,654
2025-07-20 11:13:04,91531.00,846.43,92135.00,671.35,65.00,29.25,654
2025-07-20 11:13:04,92273.00,691.27,94806.00,813.14,65.00,29.25,653
2025-07-20 11:13:05,91529.00,849.23,91494.00,877.30,65.00,29.00,654
2025-07-20 11:13:06,90823.00,883.10,91406.00,850.68,66.00,29.00,653
2025-07-20 11:13:06,91536.00,835.14,92489.00,649.69,66.00,29.00,653
2025-07-20 11:13:07,93733.00,666.82,91667.00,849.51,66.00,29.00,653
2025-07-20 11:13:08,91531.00,850.68,91458.00,866.24,66.00,29.25,653
2025-07-20 11:13:08,91062.00,911.53,90699.00,891.36,67.00,29.25,653
2025-07-20 11:13:09,91531.00,849.60,91533.00,848.69,67.00,29.00,653
2025-07-20 11:13:10,91532.00,848.60,91536.00,849.14,67.00,29.00,653
2025-07-20 11:13:10,91528.00,848.78,91532.00,849.23,67.00,29.00,653
